         TOF        Yobs       sYobs       Ycalc
     3248.29    44844.00      467.00    44799.00
     3249.91    45005.00      468.00    45035.00
     3251.53    45329.00      470.00    45197.00
     3253.16    45347.00      470.00    45260.00
     3254.78    44945.00      468.00    45222.00
     3256.40    44947.00      468.00    45075.00
     3258.03    44799.00      467.00    44805.00
     3259.66    45019.00      464.00    44381.00
     3261.30    43225.00      459.00    43825.00
     3262.93    42676.00      456.00    43155.00
     3264.55    42532.00      455.00    42422.00
     3266.19    42161.00      449.00    41690.00
     3267.83    41215.00      448.00    41037.00
     3269.45    40707.00      445.00    40519.00
     3271.09    40499.00      440.00    40164.00
     3272.73    40032.00      441.00    39998.00
     3274.37    39666.00      435.00    40029.00
     3276.00    40469.00      444.00    40264.00
     3277.64    40693.00      441.00    40689.00
     3279.28    41478.00      449.00    41274.00
     3280.92    41503.00      445.00    41948.00
     3282.56    43171.00      459.00    42648.00
     3284.20    43859.00      458.00    43261.00
     3285.84    43338.00      460.00    43731.00
     3287.47    43865.00      458.00    44012.00
     3289.13    43993.00      459.00    44089.00
     3290.78    43738.00      458.00    43984.00
     3292.42    43039.00      458.00    43753.00
     3294.06    43288.00      455.00    43466.00
     3295.71    42371.00      450.00    43194.00
     3297.37    42536.00      451.00    42998.00
     3299.00    42901.00      457.00    42905.00
     3300.64    42056.00      449.00    42901.00
     3302.30    42179.00      449.00    42955.00
     3303.95    42330.00      450.00    43026.00
     3305.61    42514.00      451.00    43084.00
     3307.26    42559.00      452.00    43110.00
     3308.91    43144.00      455.00    43094.00
     3310.57    43213.00      455.00    43028.00
     3312.22    43074.00      454.00    42909.00
     3313.88    43340.00      456.00    42752.00
     3315.53    43263.00      456.00    42592.00
     3317.20    42851.00      449.00    42489.00
     3318.87    43259.00      456.00    42541.00
     3320.52    42696.00      453.00    42840.00
     3322.18    43697.00      458.00    43437.00
     3323.83    44587.00      463.00    44349.00
     3325.50    46137.00      467.00    45500.00
     3327.17    47542.00      478.00    46730.00
     3328.82    48080.00      481.00    47850.00
     3330.49    48853.00      481.00    48710.00
     3332.16    49452.00      488.00    49183.00
     3333.81    48967.00      486.00    49267.00
     3335.48    48204.00      478.00    48988.00
     3337.15    47505.00      479.00    48410.00
     3338.82    47748.00      476.00    47597.00
     3340.49    46813.00      475.00    46609.00
     3342.16    44774.00      460.00    45499.00
     3343.84    44032.00      456.00    44312.00
     3345.51    41391.00      446.00    43127.00
     3347.18    39935.00      434.00    41991.00
     3348.85    40268.00      440.00    40947.00
     3350.52    39547.00      432.00    40069.00
     3352.20    38878.00      428.00    39390.00
     3353.89    37947.00      423.00    38964.00
     3355.56    38298.00      429.00    38820.00
     3357.23    38432.00      426.00    38953.00
     3358.91    38865.00      428.00    39314.00
     3360.60    39208.00      430.00    39823.00
     3362.28    40008.00      435.00    40346.00
     3363.97    40461.00      437.00    40768.00
     3365.63    40746.00      443.00    41014.00
     3367.30    41370.00      443.00    41095.00
     3368.99    41346.00      442.00    41070.00
     3370.67    40962.00      440.00    41029.00
     3372.36    40657.00      439.00    41049.00
     3374.06    41454.00      439.00    41168.00
     3375.76    41923.00      446.00    41373.00
     3377.44    41511.00      444.00    41623.00
     3379.12    42374.00      448.00    41850.00
     3380.81    42665.00      450.00    41996.00
     3382.49    42239.00      448.00    42012.00
     3384.19    41691.00      441.00    41883.00
     3385.89    41658.00      445.00    41603.00
     3387.58    41458.00      444.00    41212.00
     3389.26    41285.00      443.00    40741.00
     3390.96    40297.00      433.00    40211.00
     3392.66    40193.00      437.00    39666.00
     3394.36    39704.00      430.00    39108.00
     3396.06    38250.00      426.00    38547.00
